order_date,order_id,order_completion_minutes,priority_num,total_qty,risk_percentile,high_risk
2025-11-08,BLR_127930,516.4605163654101,5,95.0,0.7818181818181819,False
2025-11-08,BLR_127931,543.1864351618493,5,878.0,0.8363636363636363,False
2025-11-08,BLR_127932,221.09275341275776,2,3.0,0.32727272727272727,False
2025-11-08,BLR_127933,138.01136062002058,1,446.0,0.12727272727272726,False
2025-11-08,BLR_127935,140.73211739129653,1,398.0,0.14545454545454545,False
2025-11-08,BLR_127936,573.2616669034226,5,3465.0,0.9454545454545454,True
2025-11-08,BLR_127937,471.6666916648815,3,5348.0,0.7272727272727273,False
2025-11-08,BLR_127938,407.2104452331635,3,2636.0,0.5818181818181818,False
2025-11-08,BLR_127939,145.53607985710988,1,2010.0,0.16363636363636364,False
2025-11-08,BLR_127940,40.93435264417576,1,1066.0,0.03636363636363636,False
2025-11-08,BLR_127941,463.7658520565819,3,2777.0,0.6909090909090909,False
2025-11-08,BLR_127942,523.0385480434973,5,354.0,0.8,False
2025-11-08,BLR_127943,585.775399915113,5,2464.0,0.9818181818181818,True
2025-11-08,BLR_127946,69.46300014778181,1,2458.0,0.05454545454545454,False
2025-11-08,BLR_127947,33.81244494069946,1,332.0,0.01818181818181818,False
2025-11-08,BLR_127949,417.77320282603785,3,469.0,0.6,False
2025-11-08,BLR_127950,225.59594899455905,2,742.0,0.36363636363636365,False
2025-11-08,BLR_127951,126.04123807288555,2,3.0,0.10909090909090909,False
2025-11-08,BLR_127952,587.9522449732193,5,1728.0,1.0,True
2025-11-08,BLR_127953,356.4541625627236,1,10416.0,0.4909090909090909,False
2025-11-08,BLR_127954,150.13565151987217,1,2959.0,0.18181818181818182,False
2025-11-08,BLR_127955,237.5264272208542,2,1059.0,0.38181818181818183,False
2025-11-08,BLR_127957,75.2482018290906,1,566.0,0.07272727272727272,False
2025-11-08,BLR_127958,569.1877977618295,5,1471.0,0.9272727272727272,True
2025-11-08,BLR_127959,173.14622821577976,2,981.0,0.2,False
2025-11-08,BLR_127962,97.43647932373602,1,983.0,0.09090909090909091,False
2025-11-08,BLR_127963,177.26222743123654,2,1132.0,0.21818181818181817,False
2025-11-08,BLR_127964,444.8619017493353,3,2559.0,0.6545454545454545,False
2025-11-08,BLR_127966,442.74985231587175,3,2127.0,0.6181818181818182,False
2025-11-08,BLR_127967,191.51231648981718,2,1351.0,0.2545454545454545,False
2025-11-08,BLR_127968,398.4934240336618,3,1664.0,0.5636363636363636,False
2025-11-08,BLR_127969,556.1246013451818,5,2131.0,0.8727272727272727,False
2025-11-08,BLR_127970,365.51100681609404,3,3742.0,0.509090909090909,False
2025-11-08,BLR_127971,559.9527436435169,5,4701.0,0.8909090909090909,False
2025-11-08,BLR_127972,303.70486919901913,2,4072.0,0.45454545454545453,False
2025-11-08,BLR_127973,293.5308440838189,3,1449.0,0.43636363636363634,False
2025-11-08,BLR_127974,221.8943534440379,2,1290.0,0.34545454545454546,False
